date,name,type,description
2026-01-21,Easy Run,Run,- 5km 50-90% Pace\nConversational pace. Effort should not be taxing at all.
2026-01-22,Strength & Conditioning,WeightTraining,45-60m Running Specific Circuit\nSquats\nLunges\nHamstring curls\nLeg Press\nPlank\nFocus on building a strong foundation.
2026-01-24,Easy Run,Run,- 6.5km 50-90% Pace\nFocus on covering the distance. Take walking breaks when needed.
2026-01-28,Easy Run,Run,- 5km 50-90% Pace\nConsistency is key. Just get out the door!
2026-01-29,Strength & Conditioning,WeightTraining,45-60m Circuit Training\nCore: Side Plank / Russian Twists / Crunches
2026-01-31,Easy Run,Run,- 8km 50-90% Pace\nIncorporate a Parkrun if possible - keep it nice and easy.
2026-02-02,Easy Run,Run,- 5km 50-90% Pace\nRecovery week starts. Go easy on yourself.
2026-02-04,Easy Run,Run,- 5km 50-90% Pace\nSteady pace - slightly faster than easy.
2026-02-05,Strength & Conditioning,WeightTraining,45-60m Running Specific Circuit\nRecovery focus.
2026-02-07,Easy Run,Run,- 9.5km 50-90% Pace\nSteady effort. Focus on pace a little more.
2026-02-09,Easy Run,Run,- 5km 50-90% Pace\nBlock 2 starts. Specifity of training increases.
2026-02-11,Easy Run,Run,- 5km 50-90% Pace\nKeep the consistency going.
2026-02-12,Strength & Conditioning,WeightTraining,"45-60m S&C Session\nSquats, Lunges, and Core work."
2026-02-14,Steady Run,Run,"- 9.5km Z2 Pace\nSteady: Harder than easy, but can still speak long sentences."
2026-02-17,Easy Run,Run,- 5km 50-90% Pace\nEasy conversational pace.
2026-02-18,Strength & Conditioning,WeightTraining,45-60m Running Specific Circuit
2026-02-19,Tempo Intervals,Run,Warmup\n- 10m Z2 Pace\n\nRepeat 2x\n- 5m Z4 Pace\n- 4m Z1 Pace\n\nCooldown\n- 5m Z1 Pace\nTempo: 'Uncomfortably comfortable' - short sentences only.
2026-02-21,Steady Run,Run,- 11km Z2 Pace\nSolid milestone! Test the kit you plan on using for the race.
2026-02-24,Easy Run,Run,- 5km 50-90% Pace\nRecovery focus week.
2026-02-25,Strength & Conditioning,WeightTraining,45-60m S&C\nFocus on mobility and recovery.
2026-02-26,Tempo Intervals,Run,Warmup\n- 10m Z2 Pace\n\nRepeat 2x\n- 5m Z4 Pace\n- 2m Z1 Pace\n\nCooldown\n- 5m Z1 Pace
2026-02-28,Steady Run,Run,- 5km Z2 Pace\nEnjoy the relaxed weekend volume.
2026-03-03,Easy Run,Run,- 5km 50-90% Pace\nMileage ramps up this week.
2026-03-04,Strength & Conditioning,WeightTraining,45-60m S&C Session\nKeep going with these right to the end of the block.
2026-03-05,Tempo Intervals,Run,Warmup\n- 10m Z2 Pace\n\nRepeat 2x\n- 8m Z4 Pace\n- 4m Z1 Pace\n\nCooldown\n- 5m Z1 Pace
2026-03-07,Long Run,Run,- 13km Z2 Pace\nLong Run: Aim for between Easy and Steady pace. Practice fueling.
2026-03-10,Easy Recovery,Run,- 3km 50-90% Pace\nSunday Recovery Run.
2026-03-11,Strength & Conditioning,WeightTraining,Final heavy S&C session
2026-03-12,Hill Repeats,Run,Warmup\n- 15m Z2 Pace\n\nRepeat 4x\n- 5m Z4 Pace Hill Effort\n- 5m Z1 Pace Recovery Descent\n\nCooldown\n- 10m Z1 Pace\nUphill should be run at Steady to Tempo effort.
2026-03-14,Steady Run,Run,- 5km Z2 Pace\nSteady effort.
2026-03-17,Hill Repeats,Run,Warmup\n- 15m Z2 Pace\n\nRepeat 5x\n- 3m Z4 Pace Hill Effort\n- 2m Z1 Pace Recovery\n\nCooldown\n- 10m Z1 Pace
2026-03-19,Steady Run,Run,- 6.5km Z2 Pace\nSteady pacing.
2026-03-21,Long Run,Run,- 16km Z2 Pace\nBiggest week of the plan! Practice race equipment and fuel.
2026-03-22,Easy Recovery,Run,- 3km 50-90% Pace\nSunday recovery run to stop legs stiffening up.
2026-03-24,Easy Run,Run,- 5km 50-90% Pace\nFinal push before the taper.
2026-03-26,Steady Run,Run,- 5km Z2 Pace\nSteady effort.
2026-03-28,Long Run,Run,- 9.5km Z2 Pace\nFinal build week. The work has now been done!
2026-03-29,Easy Recovery,Run,- 3km 50-90% Pace\nRecovery run.
2026-03-30,Easy Run,Run,- 5km 50-90% Pace\nTaper week starts. Wind right down.
2026-03-31,Easy Run,Run,- 5km 50-90% Pace\nVery easy effort.
2026-04-01,Strength & Conditioning,WeightTraining,Light mobility only\nNo heavy lifting this week.
2026-04-02,Easy Run,Run,- 5km 50-90% Pace\nInclude 5-10x 30s at HM Pace to stretch legs out.
2026-04-04,Easy Run,Run,- 5km 50-90% Pace\nRest and prepare.
2026-04-06,Easy Run,Run,- 5km 50-90% Pace\nKeep the legs awake.
2026-04-07,Easy Run,Run,- 3km 50-90% Pace\nShort Tuesday run to keep legs ready.
2026-04-09,Easy Run,Run,- 3km 50-90% Pace\nShakeout run.
2026-04-12,RACE DAY,Run,- 25km Z4\nAncient Lakes Trail Run!
